Split,Dialogue ID,Utterance ID,Original Dialogue ID,Original Utterance ID,Start Time,End Time
train,0,0,0,0,0.0,5.6723125
train,0,1,0,1,0.0196875,1.5015
train,0,2,0,2,0.1606875,2.06125
train,0,3,0,3,0.232,2.352625
train,0,4,0,4,0.07,1.170375
train,0,4,0,4,5.191375,6.1516875
train,0,5,0,4,6.311625,6.4648125
train,0,5,0,5,0.0,3.079375
train,0,6,0,7,0.1975,0.83775
train,0,7,0,7,1.01775,5.3189375
train,0,8,0,8,0.095,1.001
train,0,9,0,9,1.0450625,2.2105625
train,0,10,0,10,0.0,1.1381875
train,0,11,0,11,0.0,8.232625
train,0,12,0,12,0.2671875,0.887375
train,0,13,0,12,0.9273125,1.907625
train,0,13,0,13,0.0,0.9875625
train,1,0,1,0,0.0,2.042375
train,1,1,1,1,0.112375,1.3138125
train,1,2,1,2,0.0,3.44025
train,1,3,1,2,3.4601875,4.75475
train,1,3,1,3,0.0,0.7415
train,1,4,1,3,0.7615,1.1019375
train,1,5,1,3,1.121875,2.3033125
train,1,5,1,4,0.0,1.165
train,1,5,1,5,0.0,0.2679375
train,1,6,1,8,0.0,0.6204375
train,2,0,2,0,0.0,0.5205625
train,2,1,2,0,0.5405,1.0844375
train,2,1,2,1,0.0,1.4598125
train,2,2,2,2,0.3255625,1.506875
train,2,3,2,3,0.0,1.6656875
train,2,4,2,4,0.1215,0.522
train,2,5,2,4,0.5419375,1.001
train,2,5,2,5,0.0,2.2105625
train,2,6,2,6,0.0,1.238875
train,2,6,2,6,1.4590625,2.127125
train,2,6,2,7,0.0,1.374125
train,2,7,2,7,1.8545625,2.2750625
train,2,8,2,7,2.295,2.6693125
train,2,8,2,8,0.0,0.6673125
train,2,8,2,9,0.0,0.1128125
train,2,9,2,9,0.6733125,1.834625
train,2,10,2,10,0.0730625,0.7924375
train,2,10,2,11,0.0,0.095375
train,2,11,2,11,0.1153125,1.1678125
train,2,12,2,12,0.2085,1.3096875
train,3,0,3,0,0.4201875,2.3356875
train,3,0,3,1,0.0,0.5720625
train,3,1,3,1,0.5920625,1.126125
train,3,1,3,2,0.0,1.1386875
train,3,3,3,3,0.1,2.0410625
train,3,4,3,3,2.1410625,2.4190625
train,3,4,3,4,0.0,2.7769375
train,3,5,3,5,0.0,2.3746875
train,3,6,3,6,0.0,2.9195625
train,3,7,3,8,0.1211875,2.75275
train,3,8,3,9,0.0406875,0.6610625
train,4,0,4,0,0.06,0.2600625
train,4,1,4,0,0.28,0.400125
train,4,2,4,0,0.4200625,0.9593125
train,4,2,4,1,0.0,0.125125
train,4,2,4,2,0.0,0.8738125
train,4,3,4,3,0.0,2.4809375
train,4,4,4,3,2.500875,2.75275
train,4,5,4,4,0.5194375,1.099625
train,4,6,4,6,0.0,0.2085625
train,4,7,4,7,0.0,0.8595625
train,4,8,4,8,0.0105625,8.0496875
train,4,9,4,9,0.0,1.1739375
train,4,10,4,9,1.193875,1.376375
train,4,10,4,10,0.0,0.3999375
train,4,11,4,11,0.0,1.5544375
train,4,11,4,11,2.0945,6.3953125
train,4,11,4,11,6.65525,9.01575
train,4,12,4,12,0.0275,0.6876875
train,4,13,4,13,0.0,0.0961875
train,4,14,4,13,0.116125,0.4170625
train,4,14,4,14,0.0,0.10125
train,5,0,5,0,0.0801875,1.183625
train,5,1,5,0,1.203625,1.75175
train,5,1,5,1,0.0,0.1054375
train,5,2,5,2,0.0,1.3718125
train,5,3,5,2,1.3918125,2.314625
train,6,0,6,0,0.1,2.9615625
train,6,1,6,1,0.0,1.5849375
train,6,2,6,2,0.1794375,1.420125
train,6,3,6,3,0.798375,1.9790625
train,6,4,6,4,0.7753125,2.49625
train,6,5,6,5,0.0,2.4190625
train,6,6,6,6,0.3579375,3.6396875
train,6,7,6,7,0.0783125,5.000875
train,6,8,6,8,0.0843125,2.6656875
train,6,8,6,8,3.606125,5.6071875
train,6,9,6,9,0.1066875,1.001
train,6,10,6,10,0.0,1.3370625
train,6,11,6,11,0.2631875,2.1241875
train,6,12,6,12,0.12425,1.244875
train,6,13,6,13,0.12425,0.9593125
train,6,14,6,14,0.0279375,0.4281875
train,6,15,6,14,0.448125,0.5839375
train,6,15,6,15,0.0,0.5916875
train,6,16,6,15,0.611625,0.7090625
